omega_f,max_amp_theta1
0.2,0.5
0.246154,0.5
0.292308,0.5
0.338462,0.5
0.384615,0.5
0.430769,0.5
0.476923,0.5
0.523077,0.5
0.569231,0.5
0.615385,0.5
0.661538,0.5
0.707692,0.5
0.753846,0.5
0.8,0.5
0.846154,0.5
0.892308,0.5
0.938462,0.5
0.984615,0.5
1.03077,0.5
1.07692,0.5
1.12308,0.5
1.16923,0.5
1.21538,0.5
1.26154,0.5
1.30769,0.5
1.35385,0.5
1.4,0.5
1.44615,0.5
1.49231,0.5
1.53846,0.5
1.58462,0.5
1.63077,0.5
1.67692,0.5
1.72308,0.5
1.76923,0.5
1.81538,0.5
1.86154,0.5
1.90769,0.5
1.95385,0.5
2,0.5
